respondent_id,age_group,gender,occupation,city_tier,monthly_income,income_range,education_level,fitness_goal,fitness_level,workout_frequency,workout_consistency,daily_steps,sleep_hours,sleep_quality,stress_level,diet_quality,water_intake,health_concern_level,medical_fitness_goal,uses_fitness_app,uses_wearable,past_smartwatch_owner,digital_adoption_level,trust_in_health_data,privacy_concern_level,app_notification_preference,pref_sleep_tracking,pref_stress_monitoring,pref_hydration_reminder,pref_heart_rate,pref_diet_suggestion,pref_workout_plan,pref_personalized_report,battery_life_importance,design_importance,brand_preference,monthly_health_spend,preferred_price_range,willingness_to_pay,payment_preference,discount_sensitivity,subscription_willingness,purchase_intention,likely_to_purchase,upgrade_intention,family_influence,social_media_influence,referrals_made,health_concern_score,fitness_readiness_score,lifestyle_risk_score,digital_adoption_score,price_sensitivity_score,purchase_potential_score,engagement_score,sleep_stress_risk_category,budget_segment,customer_value_segment,feedback_text
FT100010,25-34,Other,Working Professional,Tier 2,57200.0,50K-1L,Post Graduate,Weight Loss,Intermediate,5,High,5600,7.1,Average,Medium,Average,3.0,Medium,No,Yes,No,No,High,High,Medium,Minimal,No,Yes,No,No,Yes,No,Yes,High,Medium,Premium / Trusted,2670.0,6K-10K,8400,EMI,Low,No,3,No,No,Medium,High,1,48.1,52.4,46.4,79.9,49.4,48.2,59.8,Moderate,Mid-Range,Medium Value,"Reasonable device for the price, a few features could be better."
FT100011,45-54,Male,Working Professional,Tier 1,166800.0,1L-2L,Post Graduate,Weight Loss,Intermediate,4,High,10600,6.0,Poor,High,Average,0.9,High,No,No,No,No,Medium,High,Low,Moderate,Yes,No,Yes,Yes,Yes,No,No,High,Low,Budget / Value,6050.0,6K-10K,7700,Full Payment,High,Yes,4,Yes,No,Low,Low,1,67.8,55.6,66.7,31.9,77.2,58.1,39.3,High,Mid-Range,Medium Value,"Design is decent, battery is average, app could improve a little."
FT100012,35-44,Female,Self-Employed,Tier 2,50000.0,50K-1L,Graduate,General Fitness,Beginner,0,Low,4900,6.0,Poor,High,Good,2.2,Medium,No,Yes,No,Yes,High,Medium,Low,Frequent,Yes,Yes,Yes,No,Yes,Yes,Yes,Medium,Low,Premium / Trusted,690.0,6K-10K,6000,Full Payment,Medium,Yes,3,No,No,Medium,Medium,0,75.8,24.9,69.4,57.3,64.3,48.2,78.8,High,Mid-Range,Medium Value,"Design is decent, battery is average, app could improve a little."
FT100013,35-44,Male,Working Professional,Tier 1,130600.0,1L-2L,Post Graduate,Weight Loss,Intermediate,1,Low,7400,5.8,Poor,High,Good,2.3,Medium,No,Yes,No,No,Medium,High,High,Frequent,No,Yes,Yes,Yes,Yes,No,Yes,Low,High,Premium / Trusted,5740.0,10K-18K,10900,Full Payment,Low,No,3,No,No,Medium,Low,0,75.0,35.7,70.5,48.3,36.3,51.8,71.3,High,Mid-Range,Medium Value,"I love the sleep tracking, it is accurate and easy to understand."
FT100014,25-34,Female,Working Professional,Tier 3,72800.0,50K-1L,Post Graduate,General Fitness,Beginner,3,Medium,9400,6.6,Average,Medium,Average,1.9,Low,No,No,No,No,Low,Low,Low,Moderate,No,No,No,Yes,No,Yes,Yes,High,Medium,Premium / Trusted,3280.0,3K-6K,5900,Full Payment,Low,No,1,No,No,Medium,Low,1,54.6,41.4,57.2,20.2,50.9,10.0,30.9,Moderate,Mid-Range,Low Value,Customer support was slow and the device disconnects from the app often.
FT100015,18-24,Male,Working Professional,Tier 1,56800.0,50K-1L,Diploma,Muscle Gain,Advanced,7,High,10100,7.4,Average,Low,Good,2.1,Low,No,Yes,No,No,High,High,Low,Moderate,Yes,No,Yes,Yes,No,No,No,High,High,Premium / Trusted,1040.0,6K-10K,8900,EMI,High,No,3,No,Yes,High,Medium,2,26.3,81.7,31.5,65.0,91.8,42.4,61.6,Low,Mid-Range,Low Value,The battery life is excellent and lasts almost a week on a single charge.
FT100016,25-34,Male,Working Professional,Tier 2,79700.0,50K-1L,Post Graduate,General Fitness,Beginner,0,Low,1400,5.5,Poor,High,Average,1.8,High,No,Yes,Yes,No,Low,Medium,Medium,Frequent,Yes,No,No,Yes,Yes,No,No,Low,Medium,Premium / Trusted,3910.0,6K-10K,7700,Full Payment,Low,No,4,Yes,No,High,High,1,80.8,10.4,77.4,58.9,40.1,69.0,66.5,High,Mid-Range,Medium Value,The battery life is excellent and lasts almost a week on a single charge.
FT100017,18-24,Female,Student,Tier 3,20500.0,< 25K,Post Graduate,General Fitness,Beginner,1,Low,800,5.5,Poor,High,Poor,1.9,High,No,Yes,No,No,Medium,Low,Low,Moderate,Yes,Yes,No,No,No,No,Yes,Medium,Low,Budget / Value,1450.0,< 3K,2900,Full Payment,Low,Yes,4,Yes,No,Medium,Medium,0,84.7,11.3,81.7,52.8,48.6,65.6,57.3,High,Budget,Medium Value,The personalized health reports keep me motivated to stay consistent.
FT100018,35-44,Female,Working Professional,Tier 1,113400.0,1L-2L,Post Graduate,Stress Management,Beginner,1,Low,3400,5.5,Poor,High,Poor,3.1,High,Yes,Yes,No,No,High,High,Low,Moderate,No,Yes,No,Yes,Yes,No,No,High,Low,Budget / Value,4400.0,3K-6K,5700,Full Payment,High,Yes,4,Yes,Yes,Medium,Medium,0,90.0,15.3,92.2,64.2,78.0,63.5,61.3,High,Mid-Range,Medium Value,The battery life is excellent and lasts almost a week on a single charge.
FT100019,25-34,Male,Working Professional,Tier 1,120500.0,1L-2L,Post Graduate,General Fitness,Beginner,1,Low,7300,5.7,Poor,Low,Good,4.0,Medium,No,No,No,No,High,High,High,Minimal,No,No,Yes,No,Yes,Yes,No,High,Low,Budget / Value,2860.0,6K-10K,6800,Full Payment,High,No,2,No,No,Low,High,2,49.3,30.2,56.9,45.2,82.3,29.1,32.7,Moderate,Mid-Range,Low Value,"Too expensive for the features offered, the price could be lower."
FT100020,35-44,Male,Working Professional,Tier 3,32900.0,25K-50K,Graduate,Muscle Gain,Beginner,3,Medium,4800,5.8,Poor,High,Average,2.6,High,No,Yes,No,No,Medium,Medium,Medium,Minimal,Yes,Yes,Yes,Yes,No,Yes,No,Medium,Medium,Premium / Trusted,570.0,6K-10K,7200,Full Payment,Medium,Yes,5,Yes,No,Low,Medium,2,74.5,22.3,76.7,48.1,69.8,81.2,57.3,High,Mid-Range,Medium Value,Heart rate monitoring feels reliable and the hydration reminders really help.
FT100021,25-34,Male,Working Professional,Tier 1,104700.0,1L-2L,Graduate,Better Sleep,Intermediate,3,Medium,5900,6.5,Poor,High,Good,1.6,High,No,Yes,Yes,Yes,High,High,Low,Frequent,Yes,Yes,Yes,No,No,No,Yes,Medium,Medium,No Preference,1940.0,6K-10K,8600,Full Payment,Low,Yes,5,Yes,No,High,High,4,66.7,38.8,63.4,96.6,39.6,78.2,84.0,High,Mid-Range,Medium Value,"Great value for money, the app is smooth and the design looks premium."
FT100022,55+,Male,Self-Employed,Tier 1,72100.0,50K-1L,Graduate,Weight Loss,Advanced,5,High,7500,5.9,Poor,Medium,Average,2.4,Medium,No,No,No,No,Medium,High,Low,Minimal,No,No,No,No,Yes,No,No,High,High,No Preference,1410.0,3K-6K,5800,Full Payment,Medium,Yes,4,Yes,Yes,High,Low,1,57.3,58.3,56.5,26.9,65.9,65.2,17.7,High,Mid-Range,Medium Value,"The watch is okay, does the basic job of counting steps."
FT100023,45-54,Male,Working Professional,Tier 2,70600.0,50K-1L,Graduate,Muscle Gain,Intermediate,7,High,11400,7.4,Average,Low,Poor,2.0,Medium,No,Yes,No,No,Low,Low,Low,Minimal,No,Yes,No,No,Yes,No,No,High,Low,Premium / Trusted,1820.0,6K-10K,6500,Full Payment,Low,Yes,4,Yes,No,Low,Low,2,43.2,73.9,40.0,27.5,46.7,58.4,37.2,Low,Mid-Range,Medium Value,The battery life is excellent and lasts almost a week on a single charge.
FT100024,35-44,Female,Self-Employed,Tier 1,123800.0,1L-2L,Post Graduate,Medical / Recovery,Intermediate,1,Low,6400,5.4,Poor,Medium,Average,3.0,High,Yes,Yes,No,No,Medium,Low,High,Moderate,No,No,Yes,No,Yes,No,Yes,Medium,Medium,Premium / Trusted,1030.0,6K-10K,8500,EMI,High,Yes,3,No,Yes,Low,Medium,0,70.2,32.3,71.7,53.9,84.2,42.8,57.7,High,Mid-Range,Low Value,"It works as expected, neither impressed nor disappointed so far."
FT100025,18-24,Male,Student,Tier 3,21100.0,< 25K,Post Graduate,General Fitness,Beginner,2,Medium,2400,5.9,Poor,High,Average,2.5,High,No,Yes,No,No,High,High,Medium,Frequent,No,Yes,Yes,No,No,Yes,Yes,High,Low,No Preference,780.0,3K-6K,4300,Full Payment,High,Yes,4,Yes,No,Medium,High,1,79.2,16.9,70.3,72.5,91.1,59.2,75.5,High,Budget,Medium Value,"Average experience overall, nothing special but works fine."
FT100026,25-34,Female,Working Professional,Tier 2,70600.0,50K-1L,Graduate,Medical / Recovery,Intermediate,2,Medium,2800,5.9,Poor,High,Average,1.0,High,Yes,No,No,No,Medium,Medium,Low,Minimal,No,No,No,Yes,No,No,Yes,Medium,Medium,No Preference,4330.0,3K-6K,3900,Full Payment,High,No,4,Yes,Yes,Medium,Low,0,73.4,30.2,70.1,33.9,92.4,55.5,24.4,High,Budget,Medium Value,"I love the sleep tracking, it is accurate and easy to understand."
FT100027,18-24,Male,Student,Tier 2,29500.0,25K-50K,Post Graduate,General Fitness,Beginner,1,Low,6800,6.6,Poor,Medium,Good,3.2,Medium,No,Yes,Yes,Yes,High,High,High,Moderate,Yes,Yes,Yes,Yes,No,Yes,No,High,Low,No Preference,1010.0,3K-6K,3300,Full Payment,Low,Yes,3,No,Yes,Medium,High,1,63.1,35.4,60.7,96.3,44.5,49.8,81.1,High,Budget,Medium Value,"The watch is okay, does the basic job of counting steps."
FT100028,18-24,Male,Student,Tier 1,21700.0,< 25K,High School,Muscle Gain,Beginner,2,Medium,6500,6.2,Poor,Medium,Average,3.1,Low,Yes,Yes,Yes,No,High,High,Medium,Moderate,Yes,Yes,No,Yes,No,Yes,Yes,Medium,High,Budget / Value,810.0,6K-10K,7300,Full Payment,High,Yes,5,Yes,No,Low,High,6,67.0,27.5,59.8,92.2,93.9,83.8,79.7,High,Mid-Range,Medium Value,"I love the sleep tracking, it is accurate and easy to understand."
FT100029,35-44,Female,Working Professional,Tier 2,113600.0,1L-2L,Post Graduate,General Fitness,Beginner,2,Medium,4700,6.5,Average,Medium,Average,3.5,Medium,No,Yes,No,No,Medium,High,High,Minimal,Yes,Yes,No,Yes,No,No,Yes,Medium,High,Premium / Trusted,4340.0,6K-10K,8000,Full Payment,Medium,No,3,No,Yes,Low,Medium,1,48.7,33.2,53.7,47.8,70.9,41.9,52.9,Moderate,Mid-Range,Low Value,Sleep tracking data seems wrong and the design feels cheap.
FT100030,35-44,Male,Working Professional,Tier 2,40100.0,25K-50K,High School,Weight Loss,Beginner,1,Low,7200,5.3,Poor,High,Average,1.9,High,No,Yes,No,Yes,Low,Medium,Medium,Moderate,No,Yes,Yes,Yes,Yes,Yes,No,High,High,No Preference,2790.0,3K-6K,4400,Full Payment,Low,No,2,No,Yes,Low,Low,1,84.6,28.0,76.4,40.4,50.9,26.4,61.6,High,Budget,Low Value,Heart rate readings feel inaccurate during workouts and the strap is uncomfortable.
FT100031,55+,Female,Working Professional,Tier 1,95000.0,50K-1L,Graduate,Medical / Recovery,Intermediate,3,Medium,3800,5.6,Poor,High,Average,2.5,Medium,Yes,Yes,No,No,Medium,Low,High,Frequent,Yes,Yes,Yes,No,No,No,No,Medium,Medium,Budget / Value,2410.0,3K-6K,5200,Full Payment,High,Yes,3,No,No,Low,Medium,1,80.0,35.8,79.8,47.0,82.7,37.5,62.3,High,Mid-Range,Low Value,I am worried about my health data privacy and how it is stored.
FT100032,25-34,Male,Self-Employed,Tier 3,32300.0,25K-50K,High School,Weight Loss,Beginner,1,Low,5800,7.6,Good,Low,Good,1.4,Low,No,No,Yes,Yes,High,High,Medium,Minimal,No,No,No,Yes,Yes,Yes,Yes,Low,High,Budget / Value,1750.0,< 3K,2800,Full Payment,High,Yes,2,No,Yes,Low,High,2,25.4,34.1,33.4,63.2,88.2,33.9,43.3,Low,Budget,Low Value,"Design is decent, battery is average, app could improve a little."
FT100033,25-34,Female,Working Professional,Tier 2,57200.0,50K-1L,Graduate,Medical / Recovery,Beginner,0,Low,2900,6.4,Average,Low,Poor,2.3,Low,Yes,Yes,No,No,Low,Low,Low,Minimal,Yes,No,Yes,No,Yes,No,Yes,Medium,Medium,Budget / Value,2920.0,3K-6K,3000,Full Payment,Medium,Yes,3,No,No,Medium,Low,1,59.5,19.3,55.7,42.2,63.0,42.4,50.9,Low,Budget,Low Value,"Design is decent, battery is average, app could improve a little."
FT100034,25-34,Female,Working Professional,Tier 3,32800.0,25K-50K,Graduate,Muscle Gain,Intermediate,4,High,8500,7.5,Average,Medium,Average,2.6,Medium,No,Yes,No,No,Medium,Medium,Low,Frequent,Yes,Yes,No,No,Yes,Yes,No,High,Medium,Budget / Value,1000.0,< 3K,2000,Full Payment,Medium,No,3,No,No,High,Medium,0,45.1,57.1,41.6,52.9,75.8,43.0,68.7,Moderate,Budget,Low Value,"Reasonable device for the price, a few features could be better."
FT100035,18-24,Female,Student,Tier 1,20700.0,< 25K,High School,Better Sleep,Beginner,2,Medium,900,5.9,Poor,Medium,Average,1.8,Medium,No,No,No,No,Medium,Low,Low,Frequent,Yes,No,No,Yes,No,No,No,High,High,Premium / Trusted,1150.0,6K-10K,6900,Full Payment,Medium,No,2,No,No,Low,Medium,0,58.5,19.6,60.6,24.6,69.8,23.4,35.2,High,Mid-Range,Low Value,Heart rate readings feel inaccurate during workouts and the strap is uncomfortable.
FT100036,18-24,Male,Working Professional,Tier 1,86600.0,50K-1L,Graduate,Medical / Recovery,Intermediate,4,High,6900,6.4,Poor,Medium,Poor,2.6,High,Yes,Yes,Yes,Yes,High,Medium,High,Moderate,No,Yes,Yes,No,Yes,No,Yes,Low,High,Budget / Value,5440.0,3K-6K,5400,Full Payment,Medium,No,4,Yes,Yes,High,High,4,61.6,48.9,62.6,81.1,69.1,58.4,71.5,High,Mid-Range,Medium Value,"It works as expected, neither impressed nor disappointed so far."
FT100037,25-34,Male,Working Professional,Tier 2,47800.0,25K-50K,Graduate,Muscle Gain,Beginner,1,Low,5400,7.1,Average,Low,Average,2.4,Low,No,No,No,No,Low,Medium,Medium,Minimal,Yes,No,Yes,No,Yes,Yes,Yes,High,Medium,Premium / Trusted,2770.0,3K-6K,4900,Full Payment,Medium,Yes,3,No,No,Low,High,3,44.8,33.2,47.2,21.4,71.4,49.3,32.9,Low,Budget,Medium Value,"Reasonable device for the price, a few features could be better."
FT100038,18-24,Male,Student,Tier 3,10400.0,< 25K,High School,Medical / Recovery,Advanced,5,High,8400,6.5,Average,Low,Average,1.9,Medium,Yes,Yes,No,No,High,High,Low,Minimal,No,Yes,No,No,No,No,No,High,Medium,Budget / Value,310.0,< 3K,1900,Full Payment,Low,No,4,Yes,No,Medium,Medium,0,32.8,65.3,32.5,60.0,57.5,63.5,44.3,Low,Budget,Medium Value,"Great value for money, the app is smooth and the design looks premium."
FT100039,35-44,Male,Working Professional,Tier 1,130300.0,1L-2L,Graduate,Stress Management,Intermediate,5,High,10800,6.4,Poor,High,Average,3.4,High,No,No,Yes,Yes,Medium,High,Low,Minimal,Yes,No,Yes,No,No,No,Yes,Medium,High,No Preference,8000.0,6K-10K,7600,Full Payment,Low,No,4,Yes,Yes,Low,Low,2,67.5,60.7,62.5,49.1,37.6,61.2,34.0,High,Mid-Range,Medium Value,"Affordable, lightweight and the companion app is very beginner friendly."
FT100040,25-34,Male,Working Professional,Tier 1,37900.0,25K-50K,High School,General Fitness,Beginner,3,Medium,8500,6.5,Poor,Medium,Average,2.1,Medium,No,Yes,Yes,Yes,High,Medium,Medium,Minimal,Yes,Yes,Yes,No,No,Yes,Yes,Medium,Medium,Budget / Value,1810.0,3K-6K,4700,Full Payment,High,No,4,Yes,Yes,Low,Medium,0,59.8,38.7,64.2,90.1,91.6,58.6,72.0,High,Budget,Medium Value,"Too expensive for the features offered, the price could be lower."
FT100041,35-44,Male,Working Professional,Tier 3,37000.0,25K-50K,High School,Muscle Gain,Advanced,7,High,9000,5.1,Poor,High,Poor,2.4,High,No,No,No,No,Low,Medium,Medium,Moderate,Yes,Yes,Yes,Yes,Yes,No,No,High,Low,Premium / Trusted,430.0,3K-6K,5200,Full Payment,Low,No,3,Yes,Yes,Low,Medium,0,72.6,74.1,78.0,21.0,51.9,53.0,39.8,High,Mid-Range,Medium Value,Customer support was slow and the device disconnects from the app often.
FT100042,35-44,Male,Homemaker,Tier 1,11900.0,< 25K,High School,Weight Loss,Beginner,2,Medium,6700,6.9,Average,Medium,Poor,1.1,Medium,No,No,No,Yes,Medium,Medium,High,Minimal,Yes,Yes,No,No,Yes,Yes,No,High,High,Budget / Value,100.0,3K-6K,4000,Full Payment,Medium,No,1,No,Yes,Low,Medium,0,63.5,32.0,57.7,27.5,74.7,12.5,30.8,Moderate,Budget,Low Value,Heart rate readings feel inaccurate during workouts and the strap is uncomfortable.
FT100043,25-34,Male,Student,Tier 1,26500.0,25K-50K,Graduate,Weight Loss,Beginner,3,Medium,4500,6.0,Poor,Medium,Average,2.7,Medium,No,Yes,No,No,Medium,Medium,High,Minimal,Yes,No,No,No,No,Yes,Yes,High,Medium,Premium / Trusted,810.0,6K-10K,6200,Full Payment,High,No,3,No,No,Low,Medium,1,64.6,33.1,61.4,44.9,81.5,50.5,47.6,High,Mid-Range,Medium Value,"Average experience overall, nothing special but works fine."
FT100044,35-44,Male,Working Professional,Tier 2,123800.0,1L-2L,Post Graduate,Weight Loss,Intermediate,3,Medium,6400,6.6,Average,Low,Average,1.9,Low,Yes,Yes,No,Yes,Medium,High,High,Moderate,Yes,No,Yes,No,Yes,No,Yes,High,Medium,Budget / Value,5110.0,3K-6K,5500,Full Payment,High,Yes,4,Yes,No,Low,Low,1,42.7,48.2,35.6,55.1,82.7,57.1,62.4,Low,Mid-Range,Medium Value,The battery life is excellent and lasts almost a week on a single charge.
FT100045,35-44,Male,Working Professional,Tier 1,84000.0,50K-1L,Graduate,General Fitness,Intermediate,3,Medium,7500,6.3,Poor,High,Average,3.1,High,Yes,Yes,No,No,High,High,Low,Minimal,Yes,Yes,Yes,No,No,No,Yes,High,Low,No Preference,5180.0,3K-6K,5900,Full Payment,Medium,Yes,4,Yes,Yes,Low,High,1,72.6,47.5,70.4,58.9,74.7,71.0,56.8,High,Mid-Range,Medium Value,"Affordable, lightweight and the companion app is very beginner friendly."
FT100046,25-34,Male,Working Professional,Tier 1,112600.0,1L-2L,Post Graduate,Weight Loss,Beginner,3,Medium,4800,6.7,Average,Medium,Poor,1.3,Medium,No,No,No,No,High,Medium,Medium,Minimal,Yes,Yes,No,Yes,Yes,Yes,No,Low,High,Premium / Trusted,970.0,6K-10K,9300,Full Payment,Low,No,2,No,No,Low,High,2,57.4,36.7,66.2,49.5,38.2,31.5,42.8,Moderate,Mid-Range,Low Value,"Reasonable device for the price, a few features could be better."
FT100047,18-24,Female,Student,Tier 1,35500.0,25K-50K,Graduate,General Fitness,Beginner,2,Medium,6600,5.7,Poor,High,Average,2.6,Medium,No,Yes,Yes,Yes,High,High,Medium,Moderate,No,Yes,No,Yes,No,Yes,Yes,Medium,Medium,Budget / Value,830.0,3K-6K,4900,Full Payment,Low,No,4,Yes,No,High,High,4,72.4,29.9,75.6,89.1,55.8,59.9,74.3,High,Budget,Medium Value,Heart rate monitoring feels reliable and the hydration reminders really help.
FT100048,35-44,Male,Working Professional,Tier 3,36100.0,25K-50K,Post Graduate,Muscle Gain,Beginner,1,Low,3200,6.0,Poor,Medium,Average,0.6,High,No,Yes,No,No,Medium,Medium,High,Minimal,Yes,Yes,Yes,No,No,Yes,No,High,Medium,No Preference,1870.0,< 3K,2200,Full Payment,Low,Yes,3,No,No,High,Low,0,67.7,16.3,70.4,49.5,51.0,36.7,53.5,High,Budget,Low Value,"Design is decent, battery is average, app could improve a little."
FT100049,18-24,Male,Student,Tier 1,36000.0,25K-50K,Post Graduate,Muscle Gain,Intermediate,2,Medium,4200,6.8,Good,Low,Good,2.8,Low,No,Yes,No,No,High,High,Low,Moderate,No,Yes,No,No,Yes,Yes,No,High,Low,Premium / Trusted,870.0,6K-10K,7200,Full Payment,High,Yes,3,No,No,Low,High,3,26.4,41.9,21.3,68.6,86.3,42.1,62.9,Low,Mid-Range,Low Value,The battery drains too quickly and charging takes very long.
FT100050,18-24,Male,Working Professional,Tier 2,65700.0,50K-1L,Graduate,Better Sleep,Advanced,5,High,9800,7.4,Good,Low,Average,2.2,Low,No,Yes,Yes,No,High,High,Medium,Minimal,No,Yes,Yes,Yes,No,No,Yes,High,Low,Budget / Value,2350.0,3K-6K,5500,Full Payment,Medium,No,3,No,No,Medium,High,0,22.3,70.0,23.2,86.5,65.0,50.9,66.4,Low,Mid-Range,Medium Value,"Reasonable device for the price, a few features could be better."
FT100051,18-24,Female,Self-Employed,Tier 3,40800.0,25K-50K,High School,Medical / Recovery,Beginner,1,Low,2600,7.0,Average,Low,Average,2.6,Low,Yes,No,Yes,Yes,High,High,Medium,Minimal,No,No,Yes,No,No,Yes,No,Medium,Medium,Premium / Trusted,1150.0,3K-6K,5700,Full Payment,Medium,Yes,3,No,Yes,Medium,High,3,45.0,22.4,46.5,63.7,76.5,42.0,34.9,Low,Mid-Range,Low Value,"Reasonable device for the price, a few features could be better."
FT100052,35-44,Male,Self-Employed,Tier 2,26500.0,25K-50K,High School,Better Sleep,Advanced,7,High,9100,5.8,Poor,Medium,Average,1.8,Medium,Yes,Yes,No,No,Low,Low,Medium,Moderate,Yes,No,No,Yes,No,Yes,Yes,High,Medium,Budget / Value,490.0,< 3K,1700,Full Payment,High,Yes,3,No,Yes,Medium,Medium,0,56.0,70.1,57.6,36.1,92.7,39.6,55.8,High,Budget,Low Value,"Average experience overall, nothing special but works fine."
